JobType   ArrivalTime    ProcessingTime      
A         2406           5                   
B         2406           2                   
C         2407           11                  
A         2411           3                   
B         2413           8                   
A         2417           2                   
D         2418           3                   
B         2420           4                   
A         2423           1                   
D         2424           7                   
C         2425           11                  
B         2428           7                   
A         2428           5                   
A         2433           1                   
D         2434           20                  
B         2436           6                   
A         2437           1                   
C         2438           10                  
A         2441           3                   
B         2444           8                   
C         2446           9                   
A         2446           1                   
D         2448           21                  
A         2450           4                   
B         2451           4                   
A         2454           1                   
C         2457           8                   
B         2457           6                   
D         2458           12                  
A         2459           1                   
C         2461           6                   
A         2463           5                   
B         2465           3                   
D         2466           7                   
A         2468           4                   
C         2470           12                  
A         2472           4                   
B         2473           5                   
A         2477           5                   
D         2479           22                  
C         2479           11                  
B         2480           8                   
A         2483           1                   
D         2484           7                   
A         2487           5                   
B         2487           7                   
D         2493           21                  
A         2493           2                   
B         2493           2                   
C         2495           7                   
A         2497           2                   
D         2498           13                  
B         2500           3                   
A         2501           3                   
D         2502           21                  
A         2505           1                   
D         2508           22                  
B         2508           2                   
A         2510           1                   
C         2511           12                  
A         2514           1                   
B         2515           3                   
C         2515           6                   
D         2517           19                  
A         2520           4                   
B         2522           7                   
D         2524           7                   
A         2526           3                   
B         2529           6                   
C         2529           6                   
A         2530           1                   
D         2534           9                   
A         2534           2                   
C         2536           11                  
B         2536           8                   
D         2539           9                   
A         2540           5                   
B         2542           6                   
D         2543           10                  
C         2544           12                  
A         2546           2                   
C         2548           10                  
B         2550           8                   
A         2550           3                   
A         2555           2                   
D         2556           12                  
B         2558           4                   
C         2559           10                  
A         2561           1                   
B         2564           8                   
A         2565           4                   
D         2568           19                  
B         2570           3                   
A         2570           4                   
D         2572           6                   
C         2575           8                   
A         2576           1                   
B         2578           4                   
A         2581           4                   
D         2583           4                   
B         2584           7                   
C         2584           6                   
A         2587           3                   
B         2591           5                   
A         2591           1                   
D         2595           3                   
C         2595           10                  
A         2597           1                   
B         2599           5                   
A         2601           2                   
D         2605           2                   
A         2605           4                   
B         2607           2                   
A         2609           1                   
C         2610           7                   
A         2614           4                   
B         2615           4                   
D         2618           10                  
A         2620           3                   
C         2621           7                   
B         2623           7                   
A         2625           4                   
C         2625           9                   
B         2629           7                   
A         2629           5                   
D         2630           4                   
A         2633           3                   
D         2636           7                   
B         2637           5                   
A         2637           3                   
A         2642           3                   
B         2643           2                   
C         2643           9                   
D         2645           15                  
A         2646           5                   
B         2649           2                   
A         2650           5                   
A         2654           5                   
B         2655           4                   
C         2656           9                   
A         2658           3                   
D         2659           9                   
C         2660           9                   
B         2662           8                   
A         2663           4                   
A         2667           5                   
B         2668           5                   
C         2668           12                  
D         2671           6                   
A         2671           5                   
D         2675           5                   
B         2676           5                   
A         2677           3                   
D         2679           12                  
C         2682           12                  
A         2683           4                   
B         2683           2                   
A         2687           2                   
D         2689           17                  
B         2690           6                   
D         2693           18                  
A         2693           1                   
A         2697           3                   
C         2697           6                   
B         2697           5                   
A         2701           1                   
D         2704           10                  
A         2705           5                   
B         2705           3                   
A         2709           3                   
B         2712           6                   
A         2713           1                   
C         2713           8                   
D         2715           13                  
A         2718           4                   
B         2718           4                   
A         2724           1                   
B         2724           3                   
D         2727           8                   
A         2729           5                   
C         2729           12                  
B         2731           8                   
A         2734           1                   
D         2738           6                   
B         2738           2                   
A         2739           2                   
C         2739           10                  
A         2744           2                   
B         2746           8                   
C         2747           11                  
A         2750           3                   
D         2751           13                  
C         2751           11                  
B         2754           6                   
A         2754           4                   
C         2756           7                   
A         2760           2                   
B         2760           4                   
C         2762           11                  
D         2764           12                  
A         2764           4                   
B         2766           6                   
A         2770           4                   
B         2774           4                   
D         2776           14                  
C         2776           8                   
A         2776           2                   
B         2781           2                   
A         2782           1                   
C         2785           12                  
A         2786           5                   
D         2787           13                  
B         2789           8                   
A         2791           3                   
A         2796           1                   
B         2797           6                   
D         2801           3                   
C         2802           12                  
A         2802           4                   
B         2803           8                   
D         2805           15                  
A         2808           2                   
B         2809           4                   
D         2811           20                  
A         2812           1                   
C         2813           12                  
A         2816           5                   
B         2817           8                   
C         2821           12                  
A         2822           2                   
B         2824           8                   
D         2825           12                  
A         2826           4                   
C         2828           8                   
B         2830           5                   
A         2831           1                   
D         2834           22                  
A         2836           1                   
B         2836           3                   
C         2837           7                   
A         2842           3                   
D         2843           9                   
B         2844           4                   
C         2846           7                   
A         2848           2                   
B         2851           7                   
D         2852           10                  
A         2853           2                   
C         2853           7                   
B         2859           8                   
A         2859           4                   
D         2860           7                   
A         2863           3                   
D         2866           18                  
A         2867           3                   
B         2867           3                   
C         2869           8                   
A         2873           2                   
B         2874           5                   
D         2877           7                   
A         2877           1                   
B         2880           7                   
A         2881           4                   
C         2882           11                  
D         2883           5                   
A         2887           4                   
B         2888           6                   
A         2893           3                   
D         2895           20                  
B         2895           2                   
A         2899           5                   
D         2900           5                   
C         2900           11                  
B         2901           7                   
A         2904           1                   
B         2907           8                   
A         2909           4                   
C         2912           9                   
D         2913           5                   
B         2915           7                   
A         2915           4                   
D         2919           18                  
A         2919           2                   
B         2921           3                   
C         2923           7                   
A         2925           1                   
B         2928           6                   
A         2929           2                   
D         2932           16                  
A         2934           4                   
B         2935           8                   
C         2935           7                   
D         2937           2                   
C         2939           10                  
A         2939           2                   
B         2942           2                   
D         2944           19                  
A         2945           3                   
B         2950           2                   
A         2950           4                   
C         2951           12                  
A         2954           4                   
B         2956           6                   
C         2957           7                   
D         2958           21                  
A         2960           4                   
B         2962           7                   
C         2964           12                  
A         2966           1                   
D         2969           10                  
A         2970           2                   
B         2970           2                   
D         2975           3                   
A         2976           2                   
B         2977           4                   
A         2981           1                   
C         2982           8                   
B         2983           5                   
A         2986           3                   
D         2987           22                  
B         2989           3                   
A         2992           1                   
C         2994           6                   
A         2996           1                   
B         2997           4                   
D         3000           4                   
A         3001           1                   
C         3003           8                   
D         3004           8                   
B         3004           8                   
A         3005           2                   
D         3009           5                   
A         3009           4                   
B         3010           2                   
C         3011           8                   
A         3014           1                   
B         3016           7                   
D         3020           16                  
A         3020           5                   
A         3024           1                   
B         3024           6                   
C         3026           12                  
A         3028           5                   
D         3029           4                   
B         3032           5                   
A         3034           2                   
A         3038           5                   
D         3039           9                   
B         3040           8                   
A         3043           2                   
C         3044           7                   
A         3047           4                   
B         3048           6                   
C         3049           6                   
A         3052           1                   
D         3053           22                  
B         3054           5                   
A         3057           2                   
D         3061           19                  
A         3061           3                   
B         3061           2                   
C         3064           7                   
A         3065           3                   
D         3067           12                  
B         3067           8                   
A         3071           3                   
B         3074           7                   
A         3075           2                   
D         3080           18                  
A         3080           1                   
C         3080           7                   
B         3082           8                   
A         3084           3                   
C         3088           8                   
A         3089           5                   
B         3090           5                   
C         3092           8                   
D         3094           17                  
A         3094           2                   
B         3096           4                   
C         3098           8                   
A         3099           2                   
B         3102           3                   
D         3105           3                   
A         3105           2                   
B         3108           6                   
A         3109           2                   
D         3110           14                  
C         3111           9                   
A         3114           3                   
B         3116           2                   
C         3117           8                   
A         3120           2                   
D         3121           7                   
B         3123           6                   
A         3125           1                   
C         3126           6                   
D         3128           20                  
A         3130           1                   
B         3131           5                   
A         3136           3                   
C         3136           9                   
D         3138           19                  
B         3139           8                   
A         3142           4                   
B         3146           4                   
A         3146           2                   
D         3147           15                  
B         3152           6                   
A         3152           3                   
C         3153           12                  
A         3156           2                   
B         3159           8                   
D         3160           3                   
A         3160           1                   
A         3165           1                   
D         3166           17                  
B         3166           4                   
C         3169           10                  
A         3169           4                   
B         3172           8                   
A         3174           2                   
D         3176           6                   
C         3177           11                  
B         3178           5                   
A         3178           4                   
D         3183           16                  
A         3183           5                   
B         3186           6                   
D         3188           17                  
A         3189           5                   
D         3192           16                  
C         3192           9                   
B         3194           8                   
A         3195           4                   
D         3198           18                  
A         3199           3                   
B         3202           2                   
D         3203           22                  
C         3204           7                   
A         3205           3                   
D         3208           9                   
B         3208           7                   
A         3211           2                   
D         3215           2                   
A         3215           2                   
B         3216           4                   
C         3218           10                  
A         3220           2                   
D         3221           18                  
B         3224           8                   
A         3225           2                   
A         3230           2                   
B         3230           4                   
D         3231           21                  
C         3232           9                   
A         3236           2                   
B         3237           7                   
C         3237           8                   
D         3239           21                  
A         3242           5                   
C         3242           11                  
B         3244           3                   
A         3246           1                   
D         3248           14                  
A         3251           5                   
B         3251           5                   
C         3254           11                  
A         3255           2                   
D         3256           10                  
B         3259           5                   
A         3261           3                   
D         3265           17                  
A         3266           1                   
B         3266           5                   
C         3268           12                  
B         3272           4                   
A         3272           2                   
A         3278           4                   
D         3279           14                  
B         3279           5                   
C         3282           8                   
A         3282           4                   
D         3283           22                  
A         3286           3                   
B         3287           8                   
D         3288           2                   
A         3292           1                   
C         3293           11                  
B         3293           4                   
D         3298           5                   
A         3298           1                   
B         3300           8                   
A         3302           5                   
A         3306           2                   
D         3308           21                  
B         3308           6                   
C         3311           6                   
A         3311           5                   
D         3312           22                  
A         3315           5                   
B         3316           8                   
C         3317           8                   
D         3318           15                  
A         3320           4                   
B         3322           4                   
D         3323           16                  
A         3325           1                   
D         3327           4                   
A         3329           3                   
B         3330           8                   
C         3331           12                  
A         3334           2                   
D         3338           5                   
B         3338           2                   
A         3339           5                   
C         3343           11                  
A         3343           2                   
B         3345           5                   
A         3348           2                   
D         3352           7                   
B         3353           4                   
A         3354           3                   
D         3359           12                  
B         3359           6                   
C         3360           9                   
A         3360           3                   
D         3365           16                  
A         3365           1                   
B         3366           3                   
A         3371           2                   
C         3372           12                  
B         3373           8                   
D         3375           20                  
A         3375           4                   
A         3379           2                   
B         3380           5                   
C         3381           7                   
D         3385           16                  
A         3385           3                   
B         3388           3                   
A         3390           5                   
C         3391           6                   
A         3395           5                   
B         3396           4                   
D         3397           20                  
A         3399           1                   
B         3402           7                   
A         3403           2                   
D         3407           8                   
C         3408           8                   
A         3409           1                   
B         3410           6                   
A         3413           3                   
B         3417           3                   
A         3419           2                   
D         3421           16                  
B         3423           3                   
C         3424           9                   
A         3424           2                   
B         3429           3                   
D         3430           2                   
A         3430           1                   
C         3434           10                  
D         3435           16                  
A         3436           1                   
B         3437           4                   
D         3439           9                   
A         3441           4                   
C         3444           9                   
B         3444           3                   
A         3447           4                   
B         3451           7                   
D         3452           21                  
A         3452           3                   
C         3455           7                   
A         3457           2                   
B         3457           5                   
D         3460           15                  
A         3463           3                   
B         3464           5                   
A         3469           3                   
B         3471           6                   
C         3471           10                  
D         3474           7                   
A         3474           4                   
B         3479           5                   
A         3480           1                   
C         3481           12                  
D         3485           9                   
A         3486           2                   
B         3487           3                   
A         3490           1                   
B         3493           2                   
A         3494           3                   
D         3497           21                  
A         3498           2                   
C         3499           12                  
B         3500           3                   
A         3504           2                   
B         3506           7                   
A         3510           4                   
D         3511           2                   
B         3514           3                   
A         3515           2                   
C         3516           9                   
D         3520           15                  
A         3520           5                   
B         3520           4                   
A         3525           4                   
D         3527           22                  
B         3528           6                   
A         3530           4                   
C         3531           9                   
D         3534           15                  
B         3534           2                   
A         3535           1                   
B         3541           4                   
A         3541           1                   
C         3542           12                  
D         3545           19                  
B         3547           2                   
A         3547           4                   
B         3553           2                   
A         3553           3                   
C         3555           7                   
D         3557           18                  
A         3558           3                   
B         3561           7                   
D         3562           9                   
A         3562           2                   
A         3567           3                   
D         3568           12                  
B         3569           8                   
A         3571           2                   
C         3572           8                   
A         3575           4                   
B         3576           7                   
A         3580           4                   
D         3582           10                  
B         3583           6                   
A         3585           3                   
B         3589           2                   
C         3589           11                  
D         3590           7                   
A         3591           4                   
A         3596           1                   
D         3597           15                  
B         3597           5                   
C         3598           7                   
A         3601           1                   
B         3603           5                   
A         3607           3                   
B         3609           5                   
D         3610           14                  
A         3612           4                   
B         3616           8                   
C         3616           6                   
A         3618           5                   
D         3620           13                  
B         3623           8                   
A         3624           4                   
D         3628           12                  
A         3628           5                   
B         3630           8                   
A         3632           2                   
C         3633           8                   
D         3636           20                  
A         3636           3                   
B         3637           8                   
A         3642           3                   
B         3644           4                   
A         3647           3                   
C         3648           9                   
D         3650           6                   
B         3650           3                   
A         3652           1                   
A         3656           4                   
B         3658           2                   
D         3661           13                  
A         3662           2                   
C         3662           7                   
B         3666           6                   
A         3667           1                   
A         3671           3                   
C         3671           9                   
B         3674           7                   
D         3675           10                  
A         3677           2                   
D         3682           15                  
A         3682           4                   
B         3682           8                   
C         3684           11                  
A         3688           2                   
B         3688           5                   
D         3694           3                   
A         3694           2                   
B         3695           3                   
C         3697           12                  
D         3698           15                  
A         3699           4                   
D         3702           2                   
B         3702           8                   
A         3705           4                   
D         3706           21                  
B         3709           6                   
D         3711           4                   
A         3711           2                   
C         3713           11                  
A         3716           4                   
B         3716           4                   
C         3718           10                  
A         3722           1                   
B         3723           7                   
D         3725           20                  
A         3726           2                   
B         3730           7                   
A         3731           3                   
C         3734           11                  
D         3735           15                  
A         3736           1                   
B         3738           7                   
D         3741           7                   
C         3741           9                   
A         3741           4                   
B         3744           6                   
D         3745           12                  
A         3747           3                   
C         3747           11                  
A         3751           3                   
B         3752           7                   
D         3755           9                   
A         3755           3                   
B         3760           8                   
A         3760           2                   
C         3763           9                   
D         3765           20                  
B         3766           6                   
A         3766           5                   
A         3772           3                   
B         3774           2                   
D         3775           4                   
C         3776           9                   
A         3777           3                   
B         3780           3                   
A         3781           2                   
D         3784           18                  
A         3786           3                   
B         3787           8                   
A         3791           4                   
D         3793           15                  
C         3793           12                  
B         3794           2                   
A         3797           1                   
B         3800           5                   
A         3802           2                   
C         3803           10                  
D         3804           6                   
B         3807           4                   
A         3807           2                   
C         3810           9                   
D         3811           22                  
A         3811           4                   
B         3813           7                   
A         3816           2                   
B         3820           2                   
A         3821           3                   
D         3822           20                  
B         3826           8                   
C         3827           9                   
A         3827           2                   
D         3830           21                  
A         3833           3                   
B         3834           3                   
D         3837           14                  
A         3837           3                   
B         3842           5                   
A         3843           2                   
D         3844           14                  
C         3845           8                   
A         3848           4                   
B         3849           4                   
C         3849           11                  
C         3853           8                   
A         3854           1                   
D         3856           22                  
B         3857           5                   
A         3859           2                   
C         3861           8                   
B         3863           3                   
D         3864           15                  
A         3864           4                   
C         3870           10                  
A         3870           5                   
B         3871           6                   
A         3874           3                   
D         3877           19                  
A         3878           3                   
B         3879           2                   
A         3882           3                   
C         3884           11                  
B         3885           7                   
D         3887           6                   
A         3887           5                   
A         3891           2                   
B         3891           6                   
C         3892           11                  
D         3895           13                  
A         3897           5                   
B         3898           5                   
A         3901           5                   
D         3902           9                   
A         3905           2                   
B         3906           6                   
A         3909           4                   
C         3909           9                   
D         3913           5                   
A         3914           2                   
B         3914           2                   
A         3919           1                   
B         3922           8                   
D         3923           14                  
A         3924           4                   
C         3925           12                  
B         3928           6                   
C         3930           7                   
A         3930           1                   
D         3933           2                   
C         3935           9                   
B         3935           3                   
A         3936           3                   
A         3941           1                   
B         3942           8                   
D         3945           20                  
A         3945           4                   
C         3946           9                   
B         3950           4                   
C         3950           8                   
D         3951           19                  
A         3951           4                   
A         3955           3                   
B         3957           6                   
A         3961           2                   
C         3964           11                  
B         3964           8                   
D         3965           12                  
A         3967           5                   
B         3971           6                   
A         3971           2                   
D         3976           16                  
C         3976           11                  
A         3977           3                   
B         3979           4                   
A         3983           1                   
B         3986           5                   
A         3987           5                   
D         3990           16                  
A         3993           5                   
B         3993           8                   
C         3994           12                  
D         3996           8                   
C         3998           11                  
A         3999           3                   
D         4000           22                  
B         4001           2                   
A         4003           2                   
C         4008           6                   
B         4008           8                   
A         4009           5                   
D         4013           6                   
C         4014           11                  
A         4015           4                   
B         4016           3                   
D         4021           2                   
A         4021           3                   
B         4023           8                   
A         4025           2                   
B         4030           7                   
A         4030           2                   
D         4031           18                  
C         4031           8                   
A         4036           2                   
B         4037           5                   
C         4039           6                   
D         4042           7                   
A         4042           4                   
B         4043           3                   
A         4046           4                   
D         4047           19                  
B         4049           4                   
A         4052           3                   
C         4053           7                   
D         4055           9                   
B         4055           6                   
A         4058           3                   
B         4061           2                   
A         4062           2                   
C         4062           7                   
B         4067           7                   
A         4067           1                   
D         4069           6                   
A         4073           2                   
B         4074           6                   
D         4075           20                  
A         4078           1                   
C         4080           11                  
B         4081           8                   
A         4084           3                   
C         4085           6                   
D         4086           21                  
B         4088           4                   
A         4089           2                   
D         4093           14                  
B         4094           2                   
A         4094           2                   
D         4098           6                   
C         4098           8                   
A         4099           5                   
B         4100           6                   
A         4103           2                   
A         4107           3                   
B         4107           5                   
C         4108           9                   
A         4111           3                   
D         4112           15                  
B         4113           6                   
C         4116           12                  
A         4116           4                   
A         4120           2                   
B         4121           2                   
D         4122           18                  
A         4126           5                   
C         4129           8                   
B         4129           2                   
D         4130           8                   
A         4131           1                   
B         4136           8                   
A         4137           4                   
B         4142           5                   
D         4143           7                   
A         4143           2                   
C         4144           10                  
A         4148           4                   
B         4148           2                   
D         4153           10                  
C         4153           9                   
A         4154           2                   
B         4156           8                   
A         4158           5                   
A         4162           3                   
B         4164           5                   
A         4166           3                   
D         4167           11                  
C         4169           7                   
A         4170           2                   
B         4172           4                   
A         4175           5                   
D         4176           20                  
A         4179           2                   
B         4179           3                   
C         4183           8                   
A         4184           1                   
B         4185           7                   
A         4188           3                   
D         4189           6                   
C         4189           9                   
A         4192           1                   
B         4192           5                   
A         4197           3                   
B         4199           5                   
D         4201           22                  
A         4203           1                   
B         4205           4                   
C         4205           8                   
D         4206           19                  
A         4207           1                   
D         4210           21                  
B         4211           4                   
A         4212           3                   
